01/09/2019,22:02:34,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 11,Winning combination found,-1001,1,1,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],3,2,00:00:07.5268868,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:34,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 12,Winning combination found,-1001,1,1,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],3,2,00:00:08.0906113,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:35,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 13,Winning combination found,-1001,1,1,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],3,2,00:00:08.3182430,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:35,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 14,Winning combination found,-1001,1,1,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],3,2,00:00:08.5912718,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:36,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 16,Winning combination found,-1001,1,1,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],4,2,00:00:09.3933303,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:36,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 18,Winning combination found,-1001,1,4,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],5,2,00:00:09.6652825,
